eta1,eta2,p,K,K_over_N,r,w,Gini,avg_a_l,avg_a_p,avg_inc_l,avg_inc_p
0,0,0,8.60355826236768,7.40567676801181,0.0399683550134469,1.3157623304932,0.393796535426652,0,0,0,0
0,0.0111111111111111,0.26547877800135,8.69919578725957,7.40571289172636,0.0399875454424954,1.3156202753417,0.393558810497768,8.01880909812585,0.58474916424183,0.36754154851145,0.36754154851145
0,0.0222222222222222,0.26547877800135,8.75566043831761,7.37276244965459,0.0399984888214446,1.31553928719088,0.39342120749735,8.01880909812585,0.58474916424183,0.36754154851145,0.36754154851145
0,0.0333333333333333,0.26547877800135,8.8373766478237,7.36155522594138,0.0400146136115575,1.31541997844638,0.393206593505644,8.01880909812585,0.58474916424183,0.36754154851145,0.36754154851145
0,0.0444444444444444,0.26547877800135,8.99266843585908,7.41122307452901,0.0400426428135964,1.31521265942116,0.392835578083268,8.01880909812585,0.58474916424183,0.36754154851145,0.36754154851145
0,0.0555555555555556,0.265354732762584,9.09715697973492,7.41841699504055,0.0400615923506038,1.31507254988563,0.392564225825369,8.01936759990704,0.584190662460644,0.367500145233945,0.367500145233945
0,0.0666666666666667,0.265354732762584,9.11629215354855,7.3565833482574,0.0400646512545623,1.31504993677544,0.392522828715443,8.01936759990704,0.584190662460644,0.367500145233945,0.367500145233945
0,0.0777777777777778,0.265354732762584,23.4053122579252,18.6926925693523,0.0400657936207653,1.31504149204954,0.365988682806135,8.01936759990704,0.584190662460644,0.367500145233945,0.367500145233945
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
